"Alan Adı","İçerik","Notlar"
"Uzun Açıklama Paragraf 4","LINEO 100 QUIET'in 360° döner gövde tasarımı, dar alanlarda bile kablo bağlantılarını kolaylaştırır. Yatay veya dikey kanal montajı için uygundur. Tüm bileşenler takılıp-çıkarılabilir yapıdadır; bakım için tüm boru sistemini sökmek gerekmez. Ortalama kurulum süresi 30 dakika altındadır.","Kurulum ve bakım"
"Uzun Açıklama Paragraf 5","CE, IMQ ve UKCA sertifikalarına sahip olan LINEO 100 QUIET, tüm Avrupa elektrik güvenliği ve elektromanyetik uyumluluk standartlarını karşılar. Motor ömrü minimum 30.000 saat garantilidir - bu, günde 8 saat kullanımda 10 yıldan fazla demektir! F sınıfı motor izolasyonu ve IP45 koruma derecesi, nemli ortamlarda dahi güvenli çalışmayı garantiler.","Güvenlik ve kalite"
"Nominal Çap","100 mm","Bağlantı çapı 97 mm"
"Fan Tipi","Mixed Flow (Karışık Akış)","Helisel + santrifüj özellikleri"
"Motor Tipi","AC İndüksiyon, 3 Hızlı","-"
"Voltaj","220-240 V","50/60 Hz"
"Maksimum Debi","260 m³/h (72.2 l/s)","3. hız (maksimum), 50 Hz"
"Orta Debi","200 m³/h (55.6 l/s)","2. hız (orta), 50 Hz"
"Minimum Debi","150 m³/h (41.7 l/s)","1. hız (minimum), 50 Hz"
"Maksimum Basınç","15 mmH₂O (147.1 Pa)","3. hız, 50 Hz"
"Güç Tüketimi Min","11 W","En ekonomik mod, 50 Hz"
"Güç Tüketimi Orta","24 W","Günlük kullanım, 50 Hz"
"Güç Tüketimi Max","27 W","Yoğun kullanım, 50 Hz"
"Ses Gücü (Işınımlı) Min","36.2 dB(A) Lw","Kütüphane sessizliği"
"Ses Gücü (Işınımlı) Max","46.6 dB(A) Lw","Fısıltı seviyesi"
"İzolasyon Sınıfı","F","Motor izolasyonu"
"IP Koruma","IP45","Motor koruması"
"Su Geçirmezlik","IPX5","Doğru montajda geçerli"
"Toplam Uzunluk","639 mm","Montaj için gerekli kanal uzunluğu"
"Toplam Yükseklik","294.6 mm","-"
"Bağlantı Çapı","97 mm","100 mm kanal için"
"Ağırlık","3.8 kg","Hafif ve kolay montaj"
"Gövde Malzemesi","Technopolymer","Teknik polimer"
"Yangın Güvenlik Sınıfı","E2","EN ISO 11925-2:2010"
"Garantili Motor Ömrü","30.000+ saat","Maks. hız ve sıcaklıkta"
"Maksimum Ortam Sıcaklığı","45°C","Sürekli çalışma"
"Montaj Pozisyonu","Yatay veya Dikey","Kanal içi"
"Sertifikalar","CE, IMQ, UKCA, IMQ Performance","-"
"ERP Uyumluluğu","ERP 2022","327/2011/EU, 1253/2014/EU"
"Önerilen Mekan Boyutu","6-10 m²","2.5-3m tavan yüksekliği"
"Timer'lı Model","LINEO 100 T QUIET (Kod: 17190)","3-20 dk ayarlanabilir"
"Uyumlu Aksesuar 1","C5 0.5 (12987) - 5 Hız Kontrolörü","-"
"Uyumlu Aksesuar 2","C 1.5 (12966) - Elektronik Hız Kontrolörü","-"
"Uyumlu Aksesuar 3","TRIO (12891) - Potansiyometre","-"
"Uyumlu Aksesuar 4","C HCS (12994) - Nem Sensörü","-"
"Uyumlu Aksesuar 5","C PIR (12998) - Hareket Sensörü","-"
"Uyumlu Aksesuar 6","C SMOKE (12993) - Hava Kalitesi Sensörü","-"
"Uyumlu Aksesuar 7","C TEMP (12992) - Termostat","-"
"Uyumlu Aksesuar 8","C TIMER (12999) - Zamanlayıcı","-"
"Kullanım Alanı 1","Konut Banyoları - Nem kontrolü ve kokulu hava tahliyesi","-"
"Kullanım Alanı 2","Mutfaklar - Buhar ve koku tahliyesi","-"
"Kullanım Alanı 3","Küçük Ofisler - Sürekli havalandırma, sessiz çalışma","-"
"Kullanım Alanı 4","Yatak Odaları - Sessiz gece havalandırması","-"
"Kullanım Alanı 5","WC/Tuvalet - Hızlı hava değişimi","-"
"Kullanım Alanı 6","Gardıroplar - Nem ve koku kontrolü","-"
"Kullanım Alanı 7","Ticari Mekanlar - Restoran, kafe, mağaza, otel","-"
"Avantaj 1","Ultra Sessiz Çalışma - 36.2-46.6 dB(A), Helmholtz rezonatör teknolojisi","-"
"Avantaj 2","Düşük Enerji Tüketimi - 11-27W, ERP 2022 uyumlu","-"
"Avantaj 3","Kolay Montaj - 360° döner gövde, 30 dakika altında kurulum","-"
"Avantaj 4","Kolay Bakım - Takılıp-çıkarılabilir parçalar, boru sistemini sökmeden","-"
"Avantaj 5","Uzun Ömür - 30.000+ saat garantili motor ömrü","-"
"Avantaj 6","Yüksek Performans - 260 m³/h debi, mixed flow teknolojisi","-"
"Avantaj 7","Avrupa Sertifikaları - CE, IMQ, UKCA onaylı","-"
"Avantaj 8","Su ve Yangın Güvenliği - IPX5, E2 yangın sınıfı","-"
"Avantaj 9","Çok Yönlülük - 3 hız, sensör desteği, otomasyon hazır","-"
"Avantaj 10","İtalyan Kalitesi - 70+ yıllık Vortice deneyimi","-"
"Uyarı 1","Elektrik Bağlantısı: Kalifiye elektrik teknisyeni tarafından kurulmalı","-"
"Uyarı 2","Ortam Sıcaklığı: Maksimum 45°C, bu sıcaklığın üzerinde kullanılmamalı","-"
"Uyarı 3","Su Koruması: IPX5 sadece doğru montajda geçerli, terminal kutusu suya temas etmemeli","-"
"Uyarı 4","Bakım: Bakım/temizlik öncesi elektrik beslemesi kesilmeli","-"
"Uyarı 5","Kanal Bağlantısı: Optimal performans için esnek kanal kullanılmalı","-"
"Uyarı 6","Havalandırma: Motor soğutma için yeterli hava sirkülasyonu sağlanmalı","-"
"Uyarı 7","Yedek Parça: Sadece orijinal Vortice parçaları kullanılmalı","-"
"Görsel 1 Dosya Adı","vortice-lineo-100-quiet-ses-yalitimli-kanal-fani.jpg","SEO uyumlu dosya adı"
"Görsel 1 Alt Metin","Vortice LINEO 100 QUIET ses yalıtımlı kanal tipi havalandırma fanı - koyu gri gövde, 100mm çap, sessiz çalışma","-"
"Görsel 1 Kısa Açıklama","LINEO 100 QUIET ses yalıtımlı fan, entegre ses emici kaplama ve kırmızı iç pervane ızgarası ile profesyonel havalandırma çözümü","-"
"Görsel 2 Dosya Adı","vortice-lineo-serisi-kanal-fanlari-karsilastirma.png","SEO uyumlu dosya adı"
"Görsel 2 Alt Metin","Vortice LINEO serisi fan çeşitleri - AC motor (kırmızı) ve EC motor (yeşil) modelleri karşılaştırması","-"
"Görsel 3 Dosya Adı","lineo-100-quiet-teknik-boyutlar-cizim.png","SEO uyumlu dosya adı"
"Görsel 3 Alt Metin","LINEO 100 QUIET teknik boyut çizimi - montaj ölçüleri ve bağlantı detayları","-"
"Görsel 4 Dosya Adı (Yeni)","lineo-100-quiet-performans-egrileri-grafik.png","Önerilir - yeni oluşturulacak"
"Görsel 4 Alt Metin","LINEO 100 QUIET performans ve güç tüketimi eğrileri - 3 hız karşılaştırması","-"
"Görsel 5 Dosya Adı (Yeni)","lineo-100-quiet-modern-banyo-uygulama.jpg","Önerilir - yeni çekilecek"
"Görsel 5 Alt Metin","LINEO 100 QUIET modern banyoda uygulama - sessiz ve etkili havalandırma","-"
"Görsel 6 Dosya Adı (Yeni)","lineo-100-quiet-ses-seviyesi-karsilastirma-infografik.jpg","Önerilir - yeni tasarlanacak"
"Görsel 6 Alt Metin","LINEO 100 QUIET ses seviyesi karşılaştırması - günlük seslerle kıyaslama","-"
"Meta Title","Vortice LINEO 100 QUIET Ses Yalıtımlı Kanal Fanı","60 karakter"
"Meta Description","LINEO 100 QUIET ses yalıtımlı kanal fanı. 260 m³/h debi, 36 dB sessiz çalışma, ERP 2022 uyumlu. Konut ve ticari alanlar için ideal. ✓ CE ✓ IMQ","155 karakter"
"SEO Anahtar Kelime 1","ses yalıtımlı kanal fanı","Primer"
"SEO Anahtar Kelime 2","sessiz havalandırma fanı","Primer"
"SEO Anahtar Kelime 3","kanal tipi fan 100mm","Primer"
"SEO Anahtar Kelime 4","mixed flow fan","Primer"
"SEO Anahtar Kelime 5","lineo quiet","Primer"
"SEO Anahtar Kelime 6","vortice kanal fanı","Primer"
"SEO Anahtar Kelime 7","banyo havalandırma fanı sessiz","Primer"
"SEO Anahtar Kelime 8","düşük gürültülü havalandırma","Sekonder"
"SEO Anahtar Kelime 9","enerji verimli fan","Sekonder"
"SEO Anahtar Kelime 10","3 hızlı kanal fanı","Sekonder"
"SEO Anahtar Kelime 11","100mm çap ses yalıtımlı kanal fanı","Uzun kuyruk"
"SEO Anahtar Kelime 12","260 m3/h debi sessiz havalandırma","Uzun kuyruk"
"SEO Anahtar Kelime 13","kanal tipi fan 36 db gürültü","Uzun kuyruk"
"Google Shopping - ID","17160","-"
"Google Shopping - Title","Vortice LINEO 100 QUIET Ses Yalıtımlı Kanal Tipi Fan 260 m³/h","Maks. 150 karakter"
"Google Shopping - Brand","Vortice","-"
"Google Shopping - MPN","17160","-"
"Google Shopping - Condition","new","-"
"Google Shopping - Category","Home & Garden > Household Appliances > Climate Control Appliances > Air Conditioner & Heater Accessories > Air Conditioner Accessories","Google kategori"
"Google Shopping - GTIN","[Kullanıcıdan teyit gerekli]","EAN/UPC varsa"
"Google Shopping - Availability","in stock","Kullanıcıdan teyit gerekli"
"Google Shopping - Price","[Kullanıcıdan teyit gerekli] TRY","Fiyat girilecek"
"Fiyat","[KULLANICIDAN TEYİT GEREKLİ]","PDF'de bulunmuyor"
"Stok Durumu","[KULLANICIDAN TEYİT GEREKLİ]","PDF'de bulunmuyor"
"Garanti Süresi","[KULLANICIDAN TEYİT GEREKLİ]","PDF'de bulunmuyor, muhtemelen 2 yıl"
"Teslimat Süresi","[KULLANICIDAN TEYİT GEREKLİ]","PDF'de bulunmuyor"
"Kargo Ücreti","[KULLANICIDAN TEYİT GEREKLİ]","PDF'de bulunmuyor"
